Customer_ID,Customer_Name,Gender,Age,City,Product,Category,Quantity,Unit_Price,Discount_%,Total_Sales,Profit,Order_Date,Payment_Method,Salesperson
C0040,Hamza,Male,43,Hyderabad,Monitor,Electronics,2,25748,5,48921.2,11448.69,2026-05-25,Bank Transfer,Usman
C0041,Zain,Female,21,Quetta,Laptop,Electronics,3,81183,5,231371.55,23975.29,2025-02-19,JazzCash,Aamir
C0042,Maryam,Male,47,Peshawar,Keyboard,Accessories,5,3249,15,13808.25,3295.28,2025-05-22,Cash,Usman
C0043,Fatima Noor,Female,26,Islamabad,Monitor,Electronics,2,27566,0,55132,6921.26,2025-06-27,Cash,Zoya
C0044,Hassan Ali,Female,32,Islamabad,Monitor,Electronics,5,30602,0,153010,34368.59,2025-01-14,EasyPaisa,Nida
C0045,Usman,Male,45,Peshawar,Monitor,Electronics,2,25517,0,51034,12362.28,2025-01-04,Cash,Aamir
C0046,Ali Khan,Male,62,Lahore,Keyboard,Accessories,5,3799,15,16145.75,2213.67,2025-11-04,JazzCash,Usman
C0047,Hassan Ali,Female,60,Karachi,Headphones,Accessories,5,4827,5,22928.25,2875.81,2025-02-25,Card,Nida
C0048,Sara Ahmed,Female,24,Quetta,Headphones,Accessories,3,4705,0,14115,1661.51,2026-01-16,Card,Aamir
C0049,Hassan Ali,Male,34,Quetta,Keyboard,Accessories,2,3299,0,6598,1039.05,2025-12-20,JazzCash,Usman
C0050,Fatima Noor,Male,65,Islamabad,Printer,Office,1,25732,0,25732,5561.06,2025-05-25,Bank Transfer,Aamir
C0051,Fatima Noor,Male,48,Quetta,Mouse,Accessories,3,1404,5,4001.4,516.2,2026-03-17,JazzCash,Saad
C0052,Fatima Noor,Male,50,Islamabad,Printer,Office,3,21875,15,55781.25,5883.49,2025-11-26,JazzCash,Aamir
C0053,Hassan Ali,Male,46,Lahore,Monitor,Electronics,4,28892,5,109789.6,16636.67,2025-08-31,Bank Transfer,Aamir
C0054,Sara Ahmed,Male,50,Islamabad,Keyboard,Accessories,4,3525,10,12690,3078.98,2025-09-02,Bank Transfer,Saad
C0055,Bilal,Male,42,Quetta,Mouse,Accessories,5,1498,15,6366.5,1010.75,2025-09-26,JazzCash,Saad
C0056,Hina,Female,59,Quetta,Monitor,Electronics,1,25721,5,24434.95,4909.48,2025-02-26,Card,Aamir
C0057,Sara Ahmed,Male,24,Lahore,Monitor,Electronics,1,29692,10,26722.8,4353.63,2025-01-23,Bank Transfer,Aamir
C0058,Bilal,Female,50,Rawalpindi,Keyboard,Accessories,4,3393,0,13572,2714.01,2026-01-15,EasyPaisa,Aamir
C0059,Maryam,Female,64,Karachi,Laptop,Electronics,5,79321,15,337114.25,80120.61,2026-04-10,JazzCash,Usman
C0060,Zain,Female,49,Faisalabad,Keyboard,Accessories,3,3198,10,8634.6,1284.12,2026-05-17,JazzCash,Nida
C0061,Ali Khan,Male,51,Karachi,Keyboard,Accessories,5,3282,10,14769,1722.74,2025-02-18,JazzCash,Usman
C0062,Bilal,Female,35,Quetta,Printer,Office,1,25914,10,23322.6,5284.49,2026-04-28,Cash,Usman
C0063,Zain,Male,59,Hyderabad,Monitor,Electronics,2,30717,10,55290.6,6566.61,2025-10-11,Card,Usman
C0064,Bilal,Female,38,Peshawar,Printer,Office,2,22153,15,37660.1,3308.95,2025-07-18,EasyPaisa,Zoya
C0065,Hamza,Female,51,Quetta,Printer,Office,2,22956,15,39025.2,4147.04,2025-11-08,Card,Aamir
C0066,Ali Khan,Female,54,Rawalpindi,Headphones,Accessories,3,4582,10,12371.4,2400.93,2025-05-19,EasyPaisa,Zoya
C0067,Hina,Female,26,Quetta,Printer,Office,4,22665,15,77061,12155.77,2026-04-03,EasyPaisa,Saad
C0068,Ayesha Khan,Male,29,Karachi,Printer,Office,3,25624,5,73028.4,8002.1,2025-05-24,Cash,Zoya
C0069,Ahmed Raza,Male,50,Hyderabad,Headphones,Accessories,2,4525,0,9050,1829.09,2025-01-23,Bank Transfer,Saad
C0070,Fatima Noor,Male,58,Rawalpindi,Keyboard,Accessories,4,3503,0,14012,1365.62,2025-12-11,JazzCash,Usman
C0071,Usman,Female,65,Peshawar,Headphones,Accessories,5,5029,15,21373.25,1782.87,2025-07-02,Card,Saad
C0072,Maryam,Male,58,Hyderabad,Mouse,Accessories,4,1463,5,5559.4,445.53,2025-02-25,Card,Zoya
C0073,Ahmed Raza,Female,44,Islamabad,Headphones,Accessories,2,4516,0,9032,1930.08,2025-01-09,EasyPaisa,Saad
C0074,Ayesha Khan,Male,47,Peshawar,Keyboard,Accessories,5,3312,0,16560,2531.9,2026-02-03,JazzCash,Zoya
C0075,Ali Khan,Female,23,Peshawar,Monitor,Electronics,2,28103,10,50585.4,12191.42,2026-06-20,Cash,Saad
C0076,Ayesha Khan,Male,20,Peshawar,Laptop,Electronics,3,88519,5,252279.15,27378.26,2025-05-17,JazzCash,Usman
C0077,Zain,Female,57,Lahore,Headphones,Accessories,4,5125,10,18450,4221.14,2025-06-19,Cash,Saad
C0078,Bilal,Female,32,Peshawar,Laptop,Electronics,1,85838,0,85838,11686.64,2025-10-09,Cash,Saad
C0079,Hina,Female,25,Islamabad,Printer,Office,1,25046,10,22541.4,3843.03,2026-06-05,Card,Usman
C0080,Bilal,Male,35,Hyderabad,Keyboard,Accessories,3,3722,10,10049.4,2356.68,2025-08-31,EasyPaisa,Zoya
C0081,Sara Ahmed,Female,44,Quetta,Headphones,Accessories,5,4641,0,23205,5596.29,2025-10-16,EasyPaisa,Aamir
C0082,Ayesha Khan,Female,31,Karachi,Printer,Office,5,22682,5,107739.5,10099.05,2025-08-05,Bank Transfer,Aamir
C0083,Fatima Noor,Female,25,Peshawar,Printer,Office,1,23072,0,23072,3899.57,2026-02-18,Bank Transfer,Usman
C0084,Hamza,Female,63,Quetta,Keyboard,Accessories,2,3503,5,6655.7,997.76,2026-01-25,Bank Transfer,Zoya
C0085,Hamza,Female,63,Rawalpindi,Headphones,Accessories,5,5345,15,22716.25,4186.23,2026-02-19,Cash,Zoya
C0086,Hassan Ali,Female,38,Karachi,Printer,Office,5,26161,5,124264.75,25768.98,2025-06-08,EasyPaisa,Usman
C0087,Bilal,Female,35,Hyderabad,Keyboard,Accessories,2,3420,15,5814,688.97,2026-04-20,Bank Transfer,Nida
C0088,Maryam,Female,32,Hyderabad,Mouse,Accessories,5,1519,5,7215.25,640.39,2025-03-20,JazzCash,Zoya
C0089,Hina,Female,64,Lahore,Keyboard,Accessories,4,3313,15,11264.2,1058.42,2026-04-29,Card,Nida
C0090,Ayesha Khan,Female,22,Rawalpindi,Headphones,Accessories,2,5319,10,9574.2,2373.94,2025-01-04,Bank Transfer,Zoya
C0091,Sara Ahmed,Male,51,Lahore,Headphones,Accessories,5,5100,5,24225,4726.54,2025-03-10,EasyPaisa,Zoya
C0092,Fatima Noor,Male,46,Rawalpindi,Headphones,Accessories,5,5176,5,24586,4709.75,2025-01-23,Card,Aamir
C0093,Fatima Noor,Male,37,Karachi,Printer,Office,3,23069,0,69207,12137.61,2025-03-12,Card,Usman
C0094,Hina,Female,57,Rawalpindi,Monitor,Electronics,5,28206,10,126927,27825.13,2026-05-17,Bank Transfer,Zoya
C0095,Usman,Male,31,Peshawar,Printer,Office,2,24614,5,46766.6,5157.9,2025-09-03,JazzCash,Zoya
C0096,Ayesha Khan,Male,48,Rawalpindi,Monitor,Electronics,5,26133,5,124131.75,18269.8,2025-01-04,EasyPaisa,Saad
C0097,Fatima Noor,Female,39,Hyderabad,Monitor,Electronics,4,26320,15,89488,17912.49,2026-06-09,Cash,Usman
C0098,Ahmed Raza,Male,44,Hyderabad,Monitor,Electronics,1,30352,10,27316.8,3066.81,2026-01-05,Bank Transfer,Saad
C0099,Zain,Female,24,Quetta,Laptop,Electronics,1,89286,10,80357.4,11005.75,2025-06-21,Cash,Zoya
C0100,Maryam,Female,43,Karachi,Monitor,Electronics,3,30390,5,86611.5,19364.56,2026-04-10,Bank Transfer,Saad
C0101,Zain,Male,45,Quetta,Keyboard,Accessories,3,3705,15,9447.75,2031.12,2026-05-21,Bank Transfer,Nida
C0102,Ayesha Khan,Female,25,Islamabad,Keyboard,Accessories,3,3192,15,8139.6,1991.46,2026-02-06,Cash,Aamir
C0103,Ayesha Khan,Male,61,Hyderabad,Headphones,Accessories,2,4514,10,8125.2,944.6,2025-02-26,JazzCash,Nida
C0104,Hina,Male,34,Peshawar,Laptop,Electronics,1,93385,15,79377.25,7648.2,2025-02-14,JazzCash,Saad
C0105,Ayesha Khan,Female,63,Islamabad,Laptop,Electronics,4,79163,10,284986.8,36187.19,2025-01-07,Bank Transfer,Aamir
C0106,Zain,Male,46,Faisalabad,Keyboard,Accessories,2,3439,0,6878,1265.24,2026-04-17,EasyPaisa,Zoya
C0107,Hamza,Female,27,Hyderabad,Keyboard,Accessories,2,3473,5,6598.7,1131.43,2025-04-08,Bank Transfer,Aamir
C0108,Ayesha Khan,Female,54,Hyderabad,Keyboard,Accessories,5,3592,5,17062,2596.86,2025-04-27,JazzCash,Zoya
C0109,Hassan Ali,Male,56,Hyderabad,Laptop,Electronics,3,89747,0,269241,28700.9,2025-08-17,Card,Aamir
C0110,Hina,Male,52,Rawalpindi,Laptop,Electronics,2,81898,0,163796,40713.11,2025-04-17,Bank Transfer,Aamir
C0111,Hina,Male,47,Faisalabad,Keyboard,Accessories,3,3334,15,8501.7,1639.53,2026-05-12,JazzCash,Saad
C0112,Ayesha Khan,Female,62,Peshawar,Laptop,Electronics,4,88081,5,334707.8,72574.61,2025-09-08,Cash,Nida
C0113,Hina,Male,47,Islamabad,Mouse,Accessories,1,1638,5,1556.1,375.29,2025-02-20,JazzCash,Aamir
C0114,Bilal,Male,55,Faisalabad,Headphones,Accessories,4,5047,10,18169.2,3754.09,2026-03-01,Card,Aamir
C0115,Ayesha Khan,Female,25,Islamabad,Laptop,Electronics,5,77263,0,386315,59512.71,2026-03-12,Cash,Zoya
C0116,Bilal,Male,51,Karachi,Mouse,Accessories,3,1572,15,4008.6,845.35,2026-05-16,Card,Usman
C0117,Ayesha Khan,Male,25,Peshawar,Monitor,Electronics,4,29020,0,116080,22079.54,2026-02-26,Card,Aamir
C0118,Ayesha Khan,Male,18,Faisalabad,Headphones,Accessories,1,5087,10,4578.3,608.31,2025-01-15,JazzCash,Aamir
C0119,Hassan Ali,Female,49,Faisalabad,Mouse,Accessories,5,1458,5,6925.5,1092.38,2025-12-16,JazzCash,Nida
C0120,Hamza,Male,53,Lahore,Headphones,Accessories,5,4857,10,21856.5,2925.64,2025-06-10,EasyPaisa,Zoya
C0121,Fatima Noor,Female,60,Hyderabad,Mouse,Accessories,5,1525,0,7625,1606.05,2026-04-29,Cash,Saad
C0122,Bilal,Male,62,Lahore,Printer,Office,2,23478,10,42260.4,3474.33,2026-04-17,Bank Transfer,Zoya
C0123,Usman,Male,37,Quetta,Mouse,Accessories,2,1397,10,2514.6,452.38,2026-02-14,Cash,Aamir
C0124,Maryam,Female,47,Peshawar,Printer,Office,3,23873,10,64457.1,5561.82,2025-01-22,Bank Transfer,Nida
C0125,Fatima Noor,Female,61,Peshawar,Mouse,Accessories,3,1643,0,4929,406.78,2026-03-25,Cash,Saad
C0126,Sara Ahmed,Female,40,Peshawar,Headphones,Accessories,2,5077,0,10154,1236.37,2025-07-12,Bank Transfer,Saad
C0127,Hamza,Female,37,Lahore,Monitor,Electronics,3,29111,15,74233.05,7893.08,2026-03-17,Bank Transfer,Aamir
C0128,Zain,Female,52,Peshawar,Keyboard,Accessories,1,3606,15,3065.1,598.72,2025-02-03,Cash,Zoya
C0129,Ali Khan,Female,52,Lahore,Keyboard,Accessories,5,3168,5,15048,1881.31,2025-07-26,JazzCash,Usman
C0130,Fatima Noor,Male,47,Rawalpindi,Laptop,Electronics,3,80176,15,204448.8,29125.21,2026-02-08,Cash,Zoya
C0131,Ayesha Khan,Female,58,Peshawar,Mouse,Accessories,2,1433,0,2866,509.67,2025-05-12,Card,Zoya
C0132,Hamza,Male,47,Faisalabad,Monitor,Electronics,2,30020,0,60040,10262.46,2025-04-25,Card,Zoya
C0133,Hina,Male,39,Peshawar,Printer,Office,5,26318,15,111851.5,24151.35,2025-10-06,JazzCash,Nida
C0134,Ayesha Khan,Female,39,Rawalpindi,Laptop,Electronics,2,86551,15,147136.7,29080.02,2026-04-06,JazzCash,Aamir
C0135,Hamza,Female,37,Karachi,Printer,Office,1,23315,5,22149.25,4572.74,2025-04-18,EasyPaisa,Usman
C0136,Ahmed Raza,Female,22,Rawalpindi,Headphones,Accessories,1,4724,10,4251.6,391.71,2025-02-05,JazzCash,Nida
C0137,Sara Ahmed,Female,63,Quetta,Laptop,Electronics,3,87241,5,248636.85,21387.03,2026-05-18,JazzCash,Nida
C0138,Bilal,Female,49,Lahore,Monitor,Electronics,3,27983,0,83949,12701.81,2025-04-01,Cash,Usman
C0139,Hina,Male,29,Peshawar,Headphones,Accessories,2,4737,10,8526.6,960.21,2025-08-23,Card,Zoya
C0140,Maryam,Male,27,Islamabad,Headphones,Accessories,4,4811,0,19244,4561.59,2025-11-14,Bank Transfer,Saad
C0141,Ahmed Raza,Female,60,Hyderabad,Printer,Office,2,23575,15,40077.5,5335.49,2026-07-01,EasyPaisa,Aamir
C0142,Ayesha Khan,Male,51,Faisalabad,Keyboard,Accessories,2,3736,5,7098.4,1331.83,2026-01-26,JazzCash,Saad
C0143,Sara Ahmed,Male,25,Peshawar,Printer,Office,3,23387,0,70161,12812.9,2025-03-13,Cash,Saad
C0144,Hina,Male,20,Rawalpindi,Printer,Office,2,22918,15,38960.6,8101.32,2025-12-10,EasyPaisa,Zoya
C0145,Hina,Male,37,Islamabad,Keyboard,Accessories,3,3722,5,10607.7,1238.14,2025-10-06,Card,Nida
C0146,Ayesha Khan,Male,41,Peshawar,Laptop,Electronics,4,91473,15,311008.2,74432.46,2026-05-30,EasyPaisa,Zoya
C0147,Bilal,Female,37,Rawalpindi,Monitor,Electronics,5,29502,10,132759,19846.28,2026-03-21,EasyPaisa,Saad
C0148,Fatima Noor,Female,18,Karachi,Mouse,Accessories,4,1452,0,5808,839.64,2025-10-19,EasyPaisa,Saad
C0149,Sara Ahmed,Male,44,Quetta,Keyboard,Accessories,4,3259,5,12384.2,1467.76,2026-03-30,Cash,Nida
C0150,Hassan Ali,Female,47,Islamabad,Mouse,Accessories,3,1395,0,4185,732.69,2025-05-07,Card,Nida
C0151,Zain,Male,54,Peshawar,Laptop,Electronics,4,88176,0,352704,56946.1,2025-03-22,EasyPaisa,Usman
C0152,Hina,Male,48,Islamabad,Keyboard,Accessories,5,3450,10,15525,1412.71,2025-06-30,Card,Zoya
C0153,Ali Khan,Female,18,Faisalabad,Monitor,Electronics,2,25288,15,42989.6,7230.77,2026-05-02,EasyPaisa,Aamir
C0154,Sara Ahmed,Female,20,Karachi,Laptop,Electronics,5,84291,0,421455,56770.07,2025-02-02,EasyPaisa,Aamir
C0155,Bilal,Female,25,Rawalpindi,Keyboard,Accessories,4,3830,5,14554,2974.13,2025-06-20,JazzCash,Saad
C0156,Ali Khan,Female,35,Karachi,Keyboard,Accessories,1,3221,15,2737.85,320.34,2026-03-26,Bank Transfer,Usman
C0157,Fatima Noor,Female,42,Peshawar,Printer,Office,1,25070,5,23816.5,2136,2025-04-18,Card,Aamir
C0158,Ayesha Khan,Male,63,Islamabad,Monitor,Electronics,5,26153,15,111150.25,21760.74,2026-04-12,Cash,Usman
C0159,Fatima Noor,Male,62,Karachi,Laptop,Electronics,2,91864,10,165355.2,14390.82,2026-06-21,Bank Transfer,Usman
C0160,Ayesha Khan,Male,18,Rawalpindi,Printer,Office,1,22320,0,22320,3551.56,2025-07-08,JazzCash,Aamir
C0161,Hassan Ali,Female,59,Karachi,Printer,Office,3,25646,5,73091.1,15054.55,2025-11-13,Cash,Nida
C0162,Usman,Female,33,Faisalabad,Keyboard,Accessories,1,3688,5,3503.6,711.05,2025-09-28,EasyPaisa,Zoya
C0163,Maryam,Female,36,Karachi,Monitor,Electronics,3,29745,10,80311.5,13447.98,2025-06-14,Card,Aamir
C0164,Sara Ahmed,Male,57,Peshawar,Mouse,Accessories,1,1376,10,1238.4,149.34,2026-03-10,JazzCash,Usman
C0165,Maryam,Male,51,Hyderabad,Keyboard,Accessories,3,3418,5,9741.3,2019.84,2026-07-04,Bank Transfer,Usman
C0166,Bilal,Male,28,Rawalpindi,Mouse,Accessories,2,1353,10,2435.4,569.21,2026-03-03,Card,Saad
C0167,Usman,Male,59,Islamabad,Printer,Office,5,25292,10,113814,9491.65,2026-02-01,Bank Transfer,Nida
C0168,Sara Ahmed,Female,40,Peshawar,Printer,Office,5,23922,10,107649,21925.91,2025-05-16,Card,Nida
C0169,Hina,Male,53,Faisalabad,Monitor,Electronics,4,28001,10,100803.6,18348.4,2026-07-03,JazzCash,Saad
C0170,Sara Ahmed,Female,59,Quetta,Mouse,Accessories,5,1536,5,7296,1109.46,2025-04-11,JazzCash,Nida
C0171,Bilal,Male,37,Quetta,Headphones,Accessories,2,5469,10,9844.2,1361,2025-05-17,Bank Transfer,Aamir
C0172,Usman,Male,59,Karachi,Mouse,Accessories,1,1644,0,1644,163.39,2025-10-13,JazzCash,Saad
C0173,Usman,Female,49,Quetta,Mouse,Accessories,1,1565,0,1565,286.92,2026-05-10,EasyPaisa,Zoya
C0174,Hassan Ali,Female,44,Peshawar,Monitor,Electronics,3,27970,10,75519,7137.12,2025-08-03,Cash,Aamir
C0175,Hina,Male,40,Islamabad,Monitor,Electronics,3,27486,0,82458,15754.18,2025-06-17,Cash,Aamir
C0176,Maryam,Female,40,Karachi,Printer,Office,2,25886,15,44006.2,8724.94,2025-12-08,Cash,Usman
C0177,Bilal,Female,53,Rawalpindi,Keyboard,Accessories,3,3780,5,10773,2258.34,2025-11-11,Cash,Saad
C0178,Maryam,Female,41,Peshawar,Laptop,Electronics,1,89736,15,76275.6,18811.44,2025-01-31,Bank Transfer,Saad
C0179,Hamza,Male,61,Faisalabad,Laptop,Electronics,4,89449,15,304126.6,40331.48,2025-04-13,Cash,Zoya
C0180,Ali Khan,Male,43,Rawalpindi,Mouse,Accessories,4,1487,15,5055.8,506.74,2025-07-13,Card,Usman
C0181,Zain,Female,46,Hyderabad,Laptop,Electronics,5,85221,0,426105,75684.15,2026-01-20,EasyPaisa,Zoya
C0182,Ahmed Raza,Female,61,Karachi,Printer,Office,3,25968,5,74008.8,6450.62,2025-11-26,Bank Transfer,Aamir
C0183,Sara Ahmed,Female,54,Islamabad,Headphones,Accessories,2,5176,10,9316.8,2203.94,2025-01-19,Cash,Usman
C0184,Hassan Ali,Female,29,Rawalpindi,Headphones,Accessories,2,5139,10,9250.2,742.19,2026-06-17,Bank Transfer,Usman
C0185,Hassan Ali,Female,47,Peshawar,Keyboard,Accessories,2,3482,10,6267.6,1243.58,2025-04-19,EasyPaisa,Saad
C0186,Usman,Female,25,Faisalabad,Laptop,Electronics,3,92114,0,276342,32769.51,2026-04-08,JazzCash,Aamir
C0187,Bilal,Female,56,Karachi,Laptop,Electronics,2,87198,5,165676.2,27482.55,2025-11-23,Cash,Nida
C0188,Ayesha Khan,Male,37,Karachi,Headphones,Accessories,4,5213,0,20852,2312.45,2025-06-06,EasyPaisa,Nida
C0189,Maryam,Female,44,Karachi,Mouse,Accessories,2,1524,0,3048,412.71,2025-06-17,JazzCash,Aamir
C0190,Bilal,Male,44,Karachi,Printer,Office,4,26357,10,94885.2,22917.79,2025-10-07,Card,Zoya
C0191,Ahmed Raza,Female,64,Lahore,Printer,Office,2,22868,5,43449.2,4765.99,2025-04-01,Cash,Saad
C0192,Hassan Ali,Female,26,Peshawar,Headphones,Accessories,3,5055,10,13648.5,1192.73,2025-06-30,Card,Zoya
C0193,Hamza,Male,20,Rawalpindi,Printer,Office,5,23188,5,110143,23803.44,2026-07-01,Card,Saad
C0194,Usman,Female,50,Rawalpindi,Headphones,Accessories,5,5345,15,22716.25,4197.6,2025-07-30,EasyPaisa,Aamir
C0195,Fatima Noor,Female,23,Rawalpindi,Printer,Office,4,23771,0,95084,9796.86,2025-04-21,JazzCash,Usman
C0196,Fatima Noor,Male,20,Peshawar,Mouse,Accessories,4,1535,10,5526,779.99,2025-09-11,Card,Nida
C0197,Hina,Male,51,Hyderabad,Printer,Office,2,25379,15,43144.3,5702.06,2026-03-25,Cash,Usman
C0198,Hassan Ali,Male,20,Rawalpindi,Monitor,Electronics,3,30508,10,82371.6,17622.96,2025-12-05,Cash,Saad
C0199,Zain,Male,52,Peshawar,Headphones,Accessories,5,5215,15,22163.75,3368.48,2025-05-23,Card,Aamir
C0200,Fatima Noor,Male,62,Karachi,Laptop,Electronics,3,77326,5,220379.1,51605.73,2025-09-23,Cash,Saad
C0201,Ayesha Khan,Female,57,Quetta,Monitor,Electronics,4,27643,5,105043.4,9862.2,2026-06-03,JazzCash,Usman
C0202,Usman,Female,61,Lahore,Monitor,Electronics,3,30463,10,82250.1,14596.95,2026-04-16,Card,Saad
C0203,Zain,Male,45,Karachi,Mouse,Accessories,4,1418,5,5388.4,684.3,2025-04-22,Card,Saad
C0204,Hamza,Female,50,Hyderabad,Monitor,Electronics,1,28264,5,26850.8,4157.85,2025-01-16,JazzCash,Saad
C0205,Ayesha Khan,Female,27,Lahore,Printer,Office,4,24366,10,87717.6,20305.35,2025-04-20,EasyPaisa,Saad
C0206,Fatima Noor,Male,35,Lahore,Laptop,Electronics,4,77635,15,263959,25264.16,2026-01-31,Card,Zoya
C0207,Hassan Ali,Male,56,Rawalpindi,Printer,Office,4,23301,10,83883.6,11501.38,2025-05-10,Bank Transfer,Usman
C0208,Zain,Male,61,Islamabad,Laptop,Electronics,3,92500,0,277500,24113.4,2025-06-05,Card,Nida
C0209,Ali Khan,Male,44,Karachi,Laptop,Electronics,1,87191,0,87191,8169.55,2025-10-26,Cash,Zoya
C0210,Maryam,Male,39,Lahore,Headphones,Accessories,1,5259,15,4470.15,891.68,2026-05-29,Bank Transfer,Nida
C0211,Zain,Male,43,Rawalpindi,Printer,Office,2,22171,10,39907.8,4196.19,2025-01-19,Cash,Zoya
C0212,Maryam,Female,54,Islamabad,Headphones,Accessories,1,5103,5,4847.85,640.3,2025-06-02,EasyPaisa,Saad
C0213,Sara Ahmed,Male,21,Hyderabad,Laptop,Electronics,2,89486,10,161074.8,20809.62,2025-03-25,EasyPaisa,Nida
C0214,Sara Ahmed,Male,65,Karachi,Laptop,Electronics,4,83962,15,285470.8,43421.03,2025-01-25,JazzCash,Nida
C0215,Ahmed Raza,Female,23,Karachi,Mouse,Accessories,2,1533,15,2606.1,497.38,2025-01-30,Card,Aamir
